                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.9715,                 2.2438,                 2.2969,                0.39467,                0.31579,                0.25358,                0.11077,                 2.2445,                  2.338,                 2.5503,              0.0015248,              0.0015248,              0.0015248
                     75,                 2.0303,                 2.2382,                  2.311,                0.30576,                0.52632,                0.28865,                0.09636,                 2.1443,                 2.3222,                 2.4056,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.9719,                 2.2231,                 2.2743,                0.28085,                0.24732,                0.21484,                0.07918,                 2.2145,                  2.418,                 2.4432,              0.0015116,              0.0015116,              0.0015116
                     77,                 2.0199,                 2.3272,                 2.3045,                 0.3649,                0.36842,                 0.2918,                0.13392,                 2.1943,                 2.5302,                 2.4515,               0.001505,               0.001505,               0.001505
                     78,                 1.9881,                 2.2342,                 2.3025,                0.26625,                0.31579,                0.21106,                0.09644,                 2.1282,                 2.5158,                 2.4881,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.9861,                 2.2649,                 2.2718,                0.34367,                0.26316,                0.21642,                0.07868,                  2.137,                 2.4563,                 2.4978,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.9965,                 2.2819,                 2.2766,                0.30621,                0.26316,                0.29573,                0.09442,                 2.0674,                  2.245,                 2.3531,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.9838,                  2.248,                 2.2678,                0.51428,                0.42105,                 0.3737,                0.13572,                 2.1312,                 2.3274,                 2.4496,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.9539,                 2.2458,                 2.2693,                 0.2468,                0.32803,                0.29529,                0.10569,                 2.2636,                 2.3411,                 2.5458,               0.001472,               0.001472,               0.001472
                     83,                   2.03,                 2.2307,                 2.2783,                0.44568,                0.36842,                0.36205,                0.14531,                 2.1712,                 2.2985,                 2.4606,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.8469,                  2.133,                 2.1802,                0.33541,                0.42105,                0.29051,                0.10676,                 2.2044,                  2.547,                  2.559,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.9623,                 2.2333,                 2.2449,                0.33471,                0.57895,                 0.3947,                0.15313,                 2.0752,                 2.0628,                 2.3529,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.9693,                 2.2386,                 2.2766,                0.20467,                0.47368,                0.29233,                0.12145,                 2.1321,                 2.2288,                 2.4181,              0.0014456,              0.0014456,              0.0014456
                     87,                 1.9433,                 2.0924,                 2.2174,                0.22065,                0.47368,                0.27053,                0.10249,                 2.0696,                 2.2843,                 2.3921,               0.001439,               0.001439,               0.001439
                     88,                 1.9917,                 2.1383,                 2.2567,                0.31941,                0.47368,                0.34912,                0.11828,                 2.0918,                 2.2975,                 2.4027,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.9845,                 2.2118,                 2.2667,                0.32634,                0.42105,                0.32285,                0.10971,                 2.1449,                 2.1116,                 2.3887,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.9624,                 2.1601,                 2.2228,                0.26382,                0.42105,                0.35422,                0.09074,                 2.1159,                 2.2552,                 2.4817,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.9486,                 2.1297,                  2.267,                0.41062,                0.36842,                0.27108,                0.10361,                 2.0554,                 2.4783,                 2.4573,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.9439,                 2.1933,                 2.2675,                0.23226,                0.31579,                0.21322,                 0.0786,                 2.1095,                  2.396,                 2.4927,               0.001406,               0.001406,               0.001406
                     93,                 1.8759,                 2.1484,                 2.2276,                0.20555,                0.32712,                0.24851,                0.09404,                  2.286,                 2.4941,                 2.5911,              0.0013994,              0.0013994,              0.0013994
                     94,                 1.8732,                 2.1067,                 2.2176,                0.25306,                0.42105,                0.22535,                0.06464,                 2.3508,                 2.2962,                  2.518,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.9485,                 2.1169,                 2.2215,                0.26389,                0.52632,                0.23932,                0.07201,                 2.2613,                 2.1233,                 2.4644,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.9068,                  2.081,                 2.2299,                0.33073,                0.26316,                0.24724,                 0.0928,                 2.2321,                  2.393,                 2.4074,              0.0013796,              0.0013796,              0.0013796
                     97,                 1.9114,                 2.0882,                 2.2256,                0.49356,                0.31579,                0.35141,                0.11878,                 2.1828,                 2.1345,                 2.3771,               0.001373,               0.001373,               0.001373
                     98,                 1.9414,                 2.1318,                  2.254,                0.76388,                0.31579,                 0.3945,                0.14397,                   2.25,                 2.2659,                  2.535,              0.0013664,              0.0013664,              0.0013664
                     99,                 1.9164,                 2.0924,                 2.2207,                0.47241,                0.23702,                0.29703,                0.11611,                 2.0508,                 2.4897,                 2.4155,              0.0013598,              0.0013598,              0.0013598
                    100,                 1.9317,                 2.2078,                 2.2579,                0.37006,                0.36842,                0.33959,                 0.1269,                 2.1133,                 2.3641,                 2.4522,              0.0013532,              0.0013532,              0.0013532
                    101,                 1.8237,                 2.0303,                 2.1414,                0.41537,                0.42105,                0.47891,                0.17494,                 2.0262,                 1.9915,                 2.3016,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.9189,                 2.1073,                 2.2222,                 0.6213,                0.21053,                 0.3001,                0.09911,                 2.2651,                 2.5991,                 2.6167,                0.00134,                0.00134,                0.00134
                    103,                 1.9577,                 2.1886,                 2.2819,                0.44118,                0.31579,                 0.3548,                0.11784,                 2.0208,                 2.3481,                 2.3991,              0.0013334,              0.0013334,              0.0013334
                    104,                 1.8888,                 2.1417,                 2.2367,                0.42838,                0.31579,                0.37997,                0.16093,                 1.9598,                 2.3004,                 2.2838,              0.0013268,              0.0013268,              0.0013268
                    105,                 1.9186,                 2.1466,                 2.2343,                0.30243,                0.50242,                0.37902,                0.12959,                 2.0535,                 2.0838,                  2.272,              0.0013202,              0.0013202,              0.0013202
                    106,                 1.8557,                 2.0556,                 2.1934,                0.21385,                0.21053,                0.23926,                0.06704,                 2.2514,                 2.5512,                 2.6119,              0.0013136,              0.0013136,              0.0013136
                    107,                 1.8605,                 2.0994,                 2.1873,                0.51245,                0.31579,                0.40534,                0.16438,                 2.0939,                 2.2278,                 2.3913,               0.001307,               0.001307,               0.001307
                    108,                 1.9147,                 2.1476,                 2.1969,                 0.1953,                0.26316,                0.26952,                0.08429,                 2.1736,                 2.2564,                 2.4172,              0.0013004,              0.0013004,              0.0013004
                    109,                 1.9533,                 2.1388,                 2.2188,                0.46071,                0.42105,                0.35631,                0.12777,                 2.0982,                 2.2474,                 2.3707,              0.0012938,              0.0012938,              0.0012938
                    110,                 1.8762,                 2.1256,                 2.1817,                0.68079,                0.31579,                0.43521,                0.16538,                 1.9964,                 2.4037,                 2.3921,              0.0012872,              0.0012872,              0.0012872
                    111,                 1.8393,                 2.0123,                 2.1498,                0.29453,                0.33007,                 0.2794,                0.10015,                  1.963,                 2.3504,                 2.3964,              0.0012806,              0.0012806,              0.0012806
